customer_id,tenure,monthly_charges,total_charges,contract,internet_service,payment_method,num_active_services,senior_citizen,churn_score,predicted_label
ref-1102,67,118.0,1040.4626106879114,Month-to-month,No,Electronic check,5,1,0.3907900940759591,0
ref-993,31,33.22987948141198,237.55457941005767,One year,No,Bank transfer (automatic),3,1,0.3599762328512088,0
ref-1518,36,37.86172397862128,382.3111654109651,Month-to-month,Fiber optic,Electronic check,4,0,0.1150901560052033,0
ref-1705,62,66.97130647548896,1149.358816520219,Month-to-month,Fiber optic,Mailed check,6,0,0.1075374445666361,0
ref-2062,10,45.26975200202843,1942.8338938231136,Two year,DSL,Mailed check,1,0,0.4264417933533458,0
ref-527,10,34.455538676176914,876.2371577568266,Month-to-month,No,Mailed check,1,1,0.3831223478718453,0
ref-2699,8,71.78010218220577,190.3303438705334,Month-to-month,Fiber optic,Credit card (automatic),2,0,0.3468951290263667,0
ref-1938,70,18.0,237.933376093655,One year,No,Mailed check,7,0,0.4323336517140777,0
ref-212,57,59.20903041915256,1162.372641251967,Month-to-month,No,Bank transfer (automatic),8,0,0.3381442288925381,0
ref-2090,64,34.96657786701207,668.837307387562,Month-to-month,Fiber optic,Mailed check,5,0,0.5217489589785216,1
ref-2386,69,51.60449289622279,493.15647678387353,One year,No,Electronic check,3,1,0.4691523848539878,0
ref-17,9,22.776225535275792,396.77732853315126,One year,Fiber optic,Mailed check,5,0,0.2010998694202542,0
ref-579,7,65.15413076891396,216.12554848967687,Month-to-month,Fiber optic,Mailed check,3,1,0.6791104374243931,1
ref-2245,60,47.49975654707792,664.4680312155776,One year,No,Electronic check,7,0,0.0831456425445613,0
ref-12,53,54.160427824587465,3966.426128112937,Month-to-month,Fiber optic,Electronic check,1,0,0.2607443442210188,0
ref-2210,51,73.16593949345852,559.9317149499767,Month-to-month,Fiber optic,Electronic check,6,1,0.4747153087834867,0
ref-1441,37,23.47884079360924,479.1956347798514,Month-to-month,No,Credit card (automatic),4,1,0.4063833710623654,0
ref-567,18,18.0,561.0897129502578,Month-to-month,Fiber optic,Bank transfer (automatic),7,0,0.474683683171784,0
ref-1626,42,27.1930108064886,1447.155323681701,One year,Fiber optic,Mailed check,3,1,0.2347231160745141,0
ref-1579,43,52.28977496189828,1418.5972610866484,Month-to-month,Fiber optic,Credit card (automatic),0,1,0.1404181864340141,0
ref-2355,26,35.191171456701255,695.1918391009426,Month-to-month,DSL,Credit card (automatic),5,1,0.1139182613119173,0
ref-1842,59,95.9332131571224,524.2602792477682,Month-to-month,Fiber optic,Electronic check,2,0,0.5336742701999219,1
ref-2318,62,52.31587209074032,193.5426148891083,Month-to-month,DSL,Mailed check,7,0,0.4046105186345349,0
ref-2244,51,74.69522205410416,240.6850850784592,Month-to-month,No,Bank transfer (automatic),8,1,0.1875359293675568,0
ref-1688,68,118.0,84.7301120695062,One year,DSL,Credit card (automatic),8,0,0.0541861023835713,0
ref-210,19,51.74913713980728,51.38069993701984,Two year,Fiber optic,Bank transfer (automatic),7,1,0.0718477145983901,0
ref-2453,34,24.723299828616028,5643.01891827988,One year,Fiber optic,Credit card (automatic),8,0,0.2523224481167197,0
ref-371,48,56.511606558123255,94.88777090109608,Month-to-month,Fiber optic,Electronic check,6,1,0.0734936147731253,0
ref-471,58,42.85596015721274,267.38471761715925,Month-to-month,DSL,Electronic check,2,0,0.1707225535535748,0
ref-629,26,72.2904382763397,5066.335178648076,Month-to-month,DSL,Credit card (automatic),6,1,0.3858031714521688,0
ref-1955,29,56.78768838787529,241.25158444852013,Month-to-month,Fiber optic,Bank transfer (automatic),1,1,0.1513003598485214,0
ref-2161,17,37.46674184293067,223.79755700892468,Month-to-month,Fiber optic,Bank transfer (automatic),8,0,0.4275045506621765,0
ref-1027,20,90.81052982127402,329.02069744382163,Month-to-month,No,Credit card (automatic),6,1,0.3375130394507741,0
ref-2946,42,39.64832451797391,100.3843370989177,One year,Fiber optic,Mailed check,1,1,0.5327949336001271,1
