customer_id,tenure,monthly_charges,total_charges,contract,internet_service,payment_method,num_active_services,senior_citizen,churn_score,predicted_label
ref-352,21,64.3464848583411,653.6461193196565,Month-to-month,Fiber optic,Bank transfer (automatic),4,1,0.1324849154645275,0
ref-2227,68,70.56177909220767,224.4559428167641,Month-to-month,Fiber optic,Mailed check,7,0,0.1239353867130633,0
ref-1160,42,36.20750383072637,8391.652545023937,Month-to-month,Fiber optic,Credit card (automatic),6,0,0.4582886855443455,0
ref-2968,52,48.75235345083927,563.0687263450475,One year,No,Mailed check,6,0,0.3763421082179135,0
ref-2167,61,31.323016407418365,517.6405524900223,Month-to-month,DSL,Mailed check,8,0,0.2788200755757333,0
ref-1515,67,66.07557856567783,667.6107878420992,Two year,Fiber optic,Bank transfer (automatic),8,0,0.4342298139775433,0
ref-126,5,18.0,1103.105943033471,Month-to-month,Fiber optic,Bank transfer (automatic),6,1,0.5070327740398087,1
ref-22,13,58.48385084605505,1023.5727606406726,One year,DSL,Mailed check,8,1,0.2767927004922189,0
ref-2477,12,72.37322451450532,384.6125145101036,Month-to-month,No,Credit card (automatic),4,0,0.4888205918151629,0
ref-2049,48,29.31285803370118,990.2768569947054,Month-to-month,No,Mailed check,7,1,0.1958796386886708,0
ref-2929,47,118.0,607.4937118292779,One year,No,Electronic check,3,1,0.5294927864052218,1
ref-1357,9,87.17536395219604,508.2479991410353,Month-to-month,No,Mailed check,3,0,0.065979271697538,0
ref-2191,29,63.6893080146209,413.8838606481839,Month-to-month,DSL,Bank transfer (automatic),7,1,0.2631018113642174,0
ref-684,12,35.45665882427008,123.74144198396708,Month-to-month,Fiber optic,Credit card (automatic),3,1,0.1082772513621476,0
ref-727,6,41.22086586808816,664.0968488424409,Month-to-month,No,Bank transfer (automatic),2,0,0.6874187400953196,1
ref-2334,40,22.5044759588944,709.9319116585111,Month-to-month,DSL,Bank transfer (automatic),6,1,0.2325822401270996,0
ref-2822,9,88.12140977560584,2319.3729964581858,Month-to-month,DSL,Mailed check,1,1,0.2397717475008637,0
ref-508,19,42.17067186472303,476.9619977949665,One year,DSL,Bank transfer (automatic),5,0,0.5233004794312198,1
ref-1618,8,25.654426355366216,5176.128986275699,Month-to-month,Fiber optic,Bank transfer (automatic),1,0,0.1500110319159479,0
ref-2793,39,18.139536236656035,601.1151069983458,Month-to-month,DSL,Electronic check,3,1,0.2618719760224809,0
ref-599,46,28.33967752319136,688.4257684288559,Month-to-month,Fiber optic,Credit card (automatic),3,1,0.125729011925588,0
