customer_id,tenure,monthly_charges,total_charges,contract,internet_service,payment_method,num_active_services,senior_citizen,churn_score,predicted_label
ref-1423,49,108.25479631023398,626.4980127251196,Month-to-month,Fiber optic,Credit card (automatic),,1,0.2477585498971313,0
ref-1275,52,,,One year,Fiber optic,Bank transfer (automatic),1.0,0,0.6213895094847895,1
ref-1726,69,,836.4634577580683,One year,DSL,Credit card (automatic),7.0,1,0.2340685406512307,0
ref-896,37,59.74279980574061,95.96647108352198,Month-to-month,Fiber optic,Bank transfer (automatic),6.0,0,0.4992213831234342,0
ref-1456,71,118.0,705.0469435924881,Month-to-month,Fiber optic,Electronic check,7.0,1,0.5454857951049179,1
ref-1607,43,70.89163009428908,1365.499038697298,One year,DSL,Bank transfer (automatic),6.0,0,0.3427743628563637,0
ref-1140,64,39.39860136755355,3604.082899126291,One year,Fiber optic,Bank transfer (automatic),1.0,1,0.5029082232338857,1
ref-115,41,25.59933618013143,955.8423558319804,Two year,Fiber optic,Bank transfer (automatic),7.0,1,0.3067015257733536,0
ref-1252,5,52.20293122570474,975.3981131775234,Month-to-month,Fiber optic,Bank transfer (automatic),8.0,0,0.0650668917236465,0
ref-1165,7,49.74550567294735,2272.90721545181,Two year,Fiber optic,Credit card (automatic),8.0,1,0.3668221722919669,0
ref-223,14,114.09740202963432,357.3106267686497,One year,No,Mailed check,1.0,1,0.1344038972895151,0
ref-2991,46,47.080951219181216,,Two year,DSL,Credit card (automatic),,0,0.4309158338062833,0
ref-2281,25,34.6546863703667,2902.1999900816663,Month-to-month,DSL,Credit card (automatic),,0,0.2546588905823532,0
ref-4,31,98.8033929219236,1783.216522885084,Two year,Fiber optic,Credit card (automatic),3.0,1,0.4550016277763877,0
ref-2272,21,118.0,477.68402030993457,Month-to-month,DSL,Bank transfer (automatic),3.0,1,0.219875847817007,0
ref-2628,45,,1537.4082896110529,Month-to-month,Fiber optic,Electronic check,3.0,0,0.5453537860294921,1
ref-1502,16,65.54004393918558,3277.829758333902,Month-to-month,DSL,Bank transfer (automatic),4.0,0,0.4706915062666977,0
ref-376,53,62.28688913082436,88.70227338805127,Two year,No,Mailed check,0.0,1,0.3588568740375402,0
ref-1806,0,18.0,1021.2710090235609,Two year,Fiber optic,Mailed check,5.0,0,0.2674480580534712,0
ref-291,19,37.66126333403047,854.3349185456065,Month-to-month,Fiber optic,Credit card (automatic),0.0,1,0.2235637749687907,0
ref-2359,15,45.59577437712729,,Month-to-month,Fiber optic,Credit card (automatic),4.0,1,0.2502543136959074,0
ref-346,72,72.69125411970948,4802.900898073869,Month-to-month,Fiber optic,Electronic check,2.0,0,0.054200967834023,0
ref-616,18,53.48039194274438,1007.69299147806,Two year,Fiber optic,Credit card (automatic),6.0,0,0.0686247087554896,0
ref-2863,44,58.5499975986963,1525.9886119060454,One year,No,Bank transfer (automatic),,0,0.2140450544515051,0
ref-2672,62,67.34731869986342,549.6491261489994,Two year,Fiber optic,Mailed check,2.0,1,0.2644541692714378,0
ref-256,49,,1585.3840150169267,Two year,Fiber optic,Bank transfer (automatic),8.0,0,0.2863173492621132,0
ref-1508,63,,750.7238989784331,Month-to-month,Fiber optic,Mailed check,0.0,0,0.1695889289465356,0
ref-2077,32,44.65832667580487,212.46659041750385,Month-to-month,No,Mailed check,0.0,1,0.2324507882634456,0
ref-780,64,,1554.4336344273177,One year,No,Bank transfer (automatic),5.0,0,0.3492314691366957,0
ref-2049,48,29.31285803370118,990.2768569947054,Month-to-month,No,Mailed check,7.0,1,0.1958796386886708,0
ref-1150,27,20.069058282668134,1671.255129845459,Month-to-month,Fiber optic,Bank transfer (automatic),3.0,0,0.3482070056670676,0
ref-243,47,18.0,,One year,DSL,Mailed check,,1,0.448941207674441,0
ref-2399,53,,1073.071848446132,Month-to-month,Fiber optic,Electronic check,0.0,0,0.4683370072843816,0
ref-2004,58,73.3227958176551,719.0719321703141,Two year,DSL,Mailed check,5.0,0,0.1626753973951739,0
ref-1379,39,57.12487870508926,,One year,Fiber optic,Electronic check,6.0,1,0.3864404227074198,0
ref-1557,56,,146.75687610238472,Month-to-month,No,Electronic check,5.0,1,0.0889908476221983,0
ref-1369,46,118.0,388.10972787793776,Two year,DSL,Electronic check,7.0,0,0.4795072054235984,0
ref-2213,8,18.0,128.22240702881277,One year,Fiber optic,Mailed check,4.0,1,0.2482765428881788,0
ref-2584,25,30.64353514305077,434.7255023397033,One year,Fiber optic,Credit card (automatic),8.0,1,0.2799334616258576,0
ref-2767,72,118.0,1140.7469209249923,One year,DSL,Bank transfer (automatic),0.0,1,0.2881430742997927,0
ref-889,19,85.59905207908693,645.5927706760516,Month-to-month,DSL,Mailed check,4.0,0,0.5940196945744464,1
ref-1749,52,,357.3170175048751,One year,Fiber optic,Mailed check,1.0,0,0.3426993245136369,0
ref-1036,65,50.74178166723522,364.7832611823629,One year,No,Credit card (automatic),1.0,1,0.2215700414939355,0
ref-641,66,,3314.954443582523,Two year,No,Mailed check,,0,0.3939958934891194,0
ref-2538,38,36.97484343510112,717.7307357920714,Month-to-month,Fiber optic,Credit card (automatic),5.0,0,0.1703384672426543,0
ref-211,52,,425.7593973021227,Month-to-month,Fiber optic,Bank transfer (automatic),1.0,1,0.0725786848453902,0
ref-137,2,63.00162215531231,925.4751785746314,Month-to-month,DSL,Bank transfer (automatic),2.0,0,0.2707973815878032,0
ref-2402,54,26.83600730109013,3122.639435716273,Two year,No,Credit card (automatic),3.0,1,0.5015970798753043,1
ref-1702,49,76.16316242322173,,One year,No,Electronic check,8.0,0,0.556921539414867,1
ref-2347,54,,,Month-to-month,DSL,Mailed check,3.0,0,0.4401832434551227,0
ref-2063,52,21.08660437738749,1222.1858213379755,One year,DSL,Bank transfer (automatic),6.0,1,0.2781121680688145,0
ref-2789,60,118.0,402.8965411523598,Two year,Fiber optic,Mailed check,8.0,0,0.0629003877967054,0
ref-2712,68,57.06517050989002,472.23613726646647,One year,Fiber optic,Electronic check,8.0,1,0.3634911151636171,0
ref-2949,37,19.715923609441223,846.3396126587357,Month-to-month,Fiber optic,Mailed check,6.0,1,0.0568653735600966,0
ref-1063,51,,1554.4326809385916,Month-to-month,Fiber optic,Credit card (automatic),0.0,1,0.032589685066503,0
ref-568,46,61.759407752863815,1517.3834963071458,Month-to-month,DSL,Bank transfer (automatic),2.0,1,0.2431527909119288,0
ref-2119,51,24.470633941971748,1085.3156484245085,One year,DSL,Electronic check,4.0,0,0.4384266870803333,0
ref-1342,8,92.25593411959387,,Month-to-month,No,Mailed check,2.0,0,0.2316028682693892,0
ref-2897,45,43.92279482992648,463.581203166513,One year,DSL,Bank transfer (automatic),4.0,0,0.113514750547472,0
ref-2515,59,65.21309900730832,102.81588033988751,One year,DSL,Mailed check,5.0,0,0.5218732587848648,1
ref-98,46,88.71888599893045,1467.7691353877478,One year,Fiber optic,Electronic check,7.0,1,0.1780319847557828,0
ref-1320,8,118.0,503.5497120672642,One year,Fiber optic,Credit card (automatic),,1,0.1949969454984824,0
ref-858,48,118.0,96.39592159605202,One year,No,Electronic check,3.0,1,0.2318069267818175,0
ref-743,19,,202.71505253825467,One year,DSL,Mailed check,5.0,0,0.6770735416620494,1
ref-281,35,118.0,594.6917272190287,Month-to-month,No,Bank transfer (automatic),8.0,0,0.1584215827824336,0
ref-1155,42,36.32885799005614,449.9916638732541,Month-to-month,Fiber optic,Credit card (automatic),6.0,0,0.609656773979914,1
ref-2689,71,19.29834562280589,1027.5367164671636,Two year,Fiber optic,Credit card (automatic),,0,0.4833190191521874,0
ref-2228,21,118.0,,Month-to-month,Fiber optic,Credit card (automatic),2.0,0,0.076114438452109,0
ref-922,32,21.76451895494031,340.8396535679308,One year,Fiber optic,Bank transfer (automatic),,1,0.3907104047427621,0
ref-1646,25,86.05716799926309,511.7074840008612,One year,DSL,Credit card (automatic),0.0,0,0.1923534234527378,0
ref-1906,21,,3682.778593856448,One year,Fiber optic,Bank transfer (automatic),2.0,1,0.5662321369929668,1
ref-232,1,23.827266619171933,867.2416694343511,Two year,DSL,Credit card (automatic),1.0,0,0.3014691368717573,0
ref-2030,40,26.37928450166571,1827.170766614423,One year,DSL,Mailed check,0.0,1,0.1992863771619986,0
ref-656,55,56.69119921059748,1485.2141114294957,Month-to-month,No,Credit card (automatic),1.0,0,0.2489625246963454,0
ref-674,45,33.8086454749385,387.7933250193317,Month-to-month,Fiber optic,Mailed check,8.0,1,0.4105104200596331,0
ref-153,21,57.23463508789269,341.7174363428603,Month-to-month,No,Bank transfer (automatic),6.0,0,0.1948722326401431,0
ref-2578,70,36.02048600553207,1994.4991639901143,One year,Fiber optic,Bank transfer (automatic),1.0,1,0.2583277650049145,0
ref-1927,9,40.43230573827549,,One year,DSL,Credit card (automatic),8.0,0,0.3242272906997123,0
ref-1961,72,50.94766875695298,,One year,No,Credit card (automatic),7.0,0,0.1113211348257323,0
ref-2919,27,24.66464089176153,514.6435075690005,Month-to-month,Fiber optic,Bank transfer (automatic),0.0,1,0.1721532338734701,0
ref-603,9,68.56708083647416,534.7324644929621,Month-to-month,Fiber optic,Electronic check,,0,0.4605491637462493,0
ref-1115,35,68.63227012084187,612.4140084864481,Month-to-month,Fiber optic,Bank transfer (automatic),,0,0.3115391645855069,0
ref-240,10,27.74978759410322,1469.749296335774,Month-to-month,Fiber optic,Electronic check,,0,0.284484442834917,0
ref-2140,51,97.60681876974772,1608.9734368624206,Month-to-month,Fiber optic,Bank transfer (automatic),7.0,1,0.4947713457202352,0
ref-1292,32,20.667386117933003,2032.6706762599847,Month-to-month,Fiber optic,Mailed check,6.0,1,0.1262521766298187,0
ref-1768,4,78.99236266892397,342.8002026427387,Two year,Fiber optic,Electronic check,1.0,1,0.2373802171522544,0
