customer_id,tenure,monthly_charges,total_charges,contract,internet_service,payment_method,num_active_services,senior_citizen,churn_score,predicted_label
ref-2627,7,22.057133839482084,352.39967396518426,Month-to-month,DSL,Mailed check,3,1,0.3069416934671102,0
ref-347,51,60.396331425402536,363.3498933186058,Two year,DSL,Credit card (automatic),0,1,0.1094998559800358,0
ref-2309,36,104.51656122533223,164.28588136568754,Month-to-month,DSL,Electronic check,1,1,0.1016758607521629,0
ref-195,12,28.284162241417494,611.6605541149314,Month-to-month,Fiber optic,Bank transfer (automatic),8,1,0.1111248294235598,0
ref-385,10,21.199053541984146,1584.7418140938933,Month-to-month,DSL,Bank transfer (automatic),8,0,0.0158359421035052,0
ref-1142,46,64.19362137730921,1252.427732074189,Month-to-month,Fiber optic,Electronic check,0,0,0.0959331897270049,0
ref-268,38,73.01245885607993,920.4398545048386,Two year,No,Electronic check,8,0,0.1467284124633738,0
ref-1322,39,96.12813478008033,203.59488007076936,Two year,Fiber optic,Electronic check,0,0,0.3626216694791563,0
ref-633,28,95.14228916206837,664.363879715828,Month-to-month,DSL,Credit card (automatic),6,0,0.4094679185107066,0
ref-2772,19,38.96537548790475,216.45373109416107,Month-to-month,DSL,Bank transfer (automatic),8,0,0.2498996086719842,0
ref-383,11,26.620237256358152,212.90454600989645,One year,No,Mailed check,1,0,0.2464811405197561,0
ref-2675,40,42.043504679693335,8165.920901464542,One year,DSL,Bank transfer (automatic),1,1,0.3850762403348738,0
ref-2046,25,53.78931030879301,380.2251459480914,One year,No,Electronic check,8,0,0.0919873727963848,0
ref-2670,40,117.19215182193345,677.7815894452477,Month-to-month,DSL,Mailed check,0,0,0.1313407985506465,0
ref-2371,49,124.01406934326536,817.0143349911689,One year,Fiber optic,Bank transfer (automatic),5,0,0.4969449097986036,0
ref-1554,33,96.86646035405589,279.3251093109412,Month-to-month,No,Electronic check,2,1,0.0947892123985549,0
ref-1229,14,21.772144935226805,271.48616820118593,Month-to-month,Fiber optic,Bank transfer (automatic),2,1,0.504401494166088,1
ref-1529,57,155.3089654920847,405.1165267883367,Two year,DSL,Mailed check,8,1,0.0725677115594724,0
ref-1874,31,65.72240530641153,131.665590948502,Two year,Fiber optic,Mailed check,0,0,0.1223401932701372,0
ref-1155,36,47.62738838105924,449.9916638732541,Month-to-month,Fiber optic,Credit card (automatic),6,0,0.609656773979914,1
ref-1782,9,72.7302831705577,409.6715783890267,One year,No,Bank transfer (automatic),2,1,0.4291177821643971,0
ref-2988,54,123.98213277714324,2066.4808313469307,One year,Fiber optic,Bank transfer (automatic),6,0,0.1380804130735875,0
ref-2602,48,35.873952953784986,1243.5737166735955,Month-to-month,No,Mailed check,0,0,0.4826054039789409,0
ref-2916,37,23.709774734297348,229.3990297659309,Two year,Fiber optic,Bank transfer (automatic),7,1,0.1089371733897576,0
ref-1546,43,25.523862446815713,243.84202826897888,One year,DSL,Mailed check,1,1,0.1014869719967086,0
ref-891,39,92.41765760676105,894.4147418261272,Two year,DSL,Bank transfer (automatic),0,1,0.2762142128858074,0
ref-2861,47,53.77822857917218,215.2923326977076,Month-to-month,Fiber optic,Bank transfer (automatic),0,0,0.4844944144359376,0
ref-777,13,62.05660771641955,930.6150139332052,Two year,DSL,Bank transfer (automatic),6,0,0.3648043066046521,0
ref-2574,49,40.36657449171449,420.0546886726649,Two year,Fiber optic,Mailed check,6,0,0.2266615346233304,0
ref-154,23,41.02961822882684,383.4399723213195,Month-to-month,DSL,Bank transfer (automatic),8,0,0.4750693114177951,0
ref-532,16,69.2593325939382,378.4656528992728,One year,No,Electronic check,0,0,0.2173741012726737,0
ref-2829,16,75.11103586297297,1903.074420991025,Month-to-month,Fiber optic,Mailed check,6,1,0.3918982942644652,0
ref-587,4,84.23448999906444,232.92189064662855,One year,No,Credit card (automatic),5,0,0.3662904728386069,0
ref-709,33,35.000111825224835,6196.786594674758,One year,DSL,Bank transfer (automatic),5,1,0.6565530998421487,1
ref-1831,51,66.29346156997921,2939.958209748652,One year,Fiber optic,Credit card (automatic),1,1,0.2005301821754168,0
ref-1937,37,53.73892552172879,187.33746138954095,Two year,Fiber optic,Credit card (automatic),0,0,0.1063166824681483,0
ref-2768,29,48.06412820239397,260.5645943696266,Month-to-month,DSL,Mailed check,7,1,0.1403400563959848,0
ref-2832,19,41.202453267158496,548.2804791303829,Month-to-month,Fiber optic,Bank transfer (automatic),4,1,0.3388265792599093,0
ref-2789,48,174.3812585380518,402.8965411523598,Two year,Fiber optic,Mailed check,8,0,0.0629003877967054,0
ref-2109,17,125.66684555771543,192.00885918322552,Month-to-month,Fiber optic,Credit card (automatic),2,1,0.2917132527381402,0
ref-524,23,31.374086297575996,157.78366291986833,Two year,DSL,Credit card (automatic),1,1,0.1959453993467597,0
ref-1672,24,72.03247865234968,1622.7825455407394,One year,Fiber optic,Electronic check,2,1,0.1847368762982073,0
ref-176,39,25.499323049178248,28.68383426303396,Month-to-month,DSL,Mailed check,8,0,0.0725747505375085,0
ref-1127,35,145.60335970334225,1455.5462450069433,One year,Fiber optic,Electronic check,0,1,0.3738289504356347,0
ref-926,34,19.167845478146013,190.21362598027468,Two year,DSL,Electronic check,2,0,0.0617925070594071,0
ref-372,21,31.98510696024605,224.19089084948536,Month-to-month,DSL,Credit card (automatic),3,1,0.1970575858129938,0
ref-1248,18,70.50664213920832,785.8258237838867,Month-to-month,DSL,Bank transfer (automatic),5,0,0.3898143425815101,0
ref-184,32,27.99898217864537,637.5898921125711,Two year,Fiber optic,Mailed check,3,1,0.4038942806836913,0
ref-2729,25,161.99407420920818,375.19029416929806,One year,No,Electronic check,2,1,0.4688211272738544,0
ref-450,55,44.324243928078786,306.3085342957172,Month-to-month,DSL,Mailed check,4,1,0.089991569353525,0
ref-2868,50,80.2126168369301,235.74460898269663,Two year,DSL,Credit card (automatic),2,1,0.2506463406647034,0
ref-1990,32,27.870106323769978,1480.9193523377312,One year,DSL,Electronic check,3,0,0.2840587913454721,0
ref-2001,3,28.09463493413672,1754.427187361017,One year,DSL,Mailed check,0,1,0.3948426821907112,0
ref-1510,26,136.4339705981446,1030.2097624642022,Month-to-month,No,Bank transfer (automatic),5,0,0.1667933993855362,0
ref-1525,13,48.21491059942699,1174.1635596627486,One year,No,Mailed check,3,1,0.1248293531175979,0
ref-2185,14,27.65535415667566,678.3409889976828,Month-to-month,Fiber optic,Mailed check,0,0,0.152973463725754,0
ref-830,18,84.8803235832854,1075.249296313987,One year,DSL,Credit card (automatic),3,1,0.1710523659785445,0
ref-2063,43,24.559993577503818,1222.1858213379755,One year,DSL,Bank transfer (automatic),6,1,0.2781121680688145,0
ref-1509,37,76.24386774888016,3060.4070224898637,Two year,DSL,Electronic check,1,1,0.2004609281017091,0
ref-2373,28,45.660702194790844,213.0945610371785,One year,DSL,Credit card (automatic),8,1,0.118592200652017,0
ref-2999,38,78.15223463359311,631.1567415420518,Month-to-month,Fiber optic,Electronic check,3,0,0.0443301943238566,0
ref-556,46,53.086387680784455,261.4020248550114,Month-to-month,Fiber optic,Credit card (automatic),4,1,0.3207302870282225,0
ref-726,45,55.42021304723549,1232.1399611467134,Month-to-month,DSL,Mailed check,4,0,0.282163836490678,0
