customer_id,tenure,monthly_charges,total_charges,contract,internet_service,payment_method,num_active_services,senior_citizen,churn_score,predicted_label
ref-0,6,97.297796642873,974.2720088101707,Month-to-month,Fiber optic,Credit card (automatic),1,1,0.08410088985690038,0
ref-1,56,35.347701502727496,630.570620059643,Month-to-month,No,Bank transfer (automatic),8,1,0.08672655687725585,0
ref-2,47,32.71208123659791,1971.0583616227661,Month-to-month,DSL,Credit card (automatic),3,1,0.6225760959376548,1
ref-3,32,71.93936223613152,358.89163704253406,One year,DSL,Credit card (automatic),8,0,0.47701690144433284,0
ref-4,31,98.80339292192359,1783.216522885084,Two year,Fiber optic,Credit card (automatic),3,1,0.4550016277763877,0
ref-5,62,55.93296394160653,1139.6743624854362,Month-to-month,Fiber optic,Electronic check,2,1,0.6057282896253201,1
ref-6,6,25.23328607574718,657.1879693661316,One year,No,Credit card (automatic),4,1,0.14432222727594668,0
ref-7,50,24.139390824092864,485.4437199811129,Month-to-month,DSL,Mailed check,8,1,0.2212086099710333,0
ref-8,14,23.189930602192536,7530.131308813723,Month-to-month,DSL,Bank transfer (automatic),5,1,0.4789729524614071,0
ref-9,6,18.90500557496197,293.8270559709431,One year,DSL,Credit card (automatic),0,0,0.23984124094774664,0
ref-10,38,58.30519606231737,895.9935165616189,One year,Fiber optic,Mailed check,2,1,0.45804346339655294,0
ref-11,71,107.23539303178197,314.12183800040225,One year,Fiber optic,Mailed check,8,1,0.25320718964416494,0
ref-12,53,54.160427824587465,3966.426128112937,Month-to-month,Fiber optic,Electronic check,1,0,0.26074434422101883,0
ref-13,55,18.0,1614.5738466599198,One year,Fiber optic,Electronic check,7,1,0.34283139238418303,0
ref-14,52,48.693411029487024,337.52855736873124,Month-to-month,DSL,Electronic check,8,1,0.21990957954863377,0
ref-15,57,49.5172256525746,1110.53259376075,Two year,Fiber optic,Mailed check,1,0,0.09206021595461965,0
ref-16,37,118.0,860.6567161592927,One year,No,Credit card (automatic),5,1,0.2324167449555931,0
ref-17,9,22.776225535275792,396.77732853315126,Two year,Fiber optic,Mailed check,5,0,0.20109986942025426,0
ref-18,61,43.18932846411814,1419.6479782594415,Month-to-month,DSL,Bank transfer (automatic),7,1,0.38404366388466843,0
ref-19,32,118.0,981.7192693952193,Month-to-month,Fiber optic,Electronic check,7,1,0.5283198321326583,1
ref-20,36,71.52070618786618,825.2601862495891,One year,DSL,Bank transfer (automatic),0,0,0.31245424001721067,0
ref-21,27,76.5533469927398,637.8354206846172,Month-to-month,DSL,Credit card (automatic),2,0,0.16941264090609331,0
ref-22,13,58.48385084605505,1023.5727606406726,One year,DSL,Mailed check,8,1,0.27679270049221893,0
ref-23,67,66.55083709467263,836.6348053624062,One year,DSL,Mailed check,3,0,0.08204349737445689,0
ref-24,57,87.0572299727295,705.6316315803568,Two year,DSL,Credit card (automatic),2,1,0.08615247868830361,0
ref-25,47,33.59268075826585,350.3680186821205,Month-to-month,Fiber optic,Bank transfer (automatic),5,1,0.15308964843865916,0
ref-26,29,92.46545796253318,3618.324096167848,Two year,DSL,Mailed check,1,0,0.36388355688334434,0
ref-27,60,23.955505923769596,232.66044118492883,Month-to-month,Fiber optic,Electronic check,1,0,0.4200532927629116,0
ref-28,39,66.48795368767989,1020.079881981299,Month-to-month,No,Credit card (automatic),7,0,0.37508235701278797,0
ref-29,32,60.779014793550694,482.87569375286415,One year,Fiber optic,Bank transfer (automatic),1,0,0.600459188722718,1
ref-30,32,37.72127078253651,3864.3441977169937,Month-to-month,Fiber optic,Electronic check,8,1,0.22209391319957303,0
ref-31,16,53.86004025611867,269.4862753685895,Two year,Fiber optic,Bank transfer (automatic),2,1,0.1294442552096016,0
ref-32,6,37.580147104016724,318.8550906334208,Two year,DSL,Credit card (automatic),0,0,0.5268375541548002,1
ref-33,40,28.702355824751795,252.18978943759294,Two year,Fiber optic,Credit card (automatic),6,0,0.6171147359327824,1
ref-34,64,44.16051901831093,919.1644500907078,Two year,Fiber optic,Electronic check,1,1,0.14961693833100256,0
ref-35,4,28.151673966755247,168.50229003822324,One year,No,Mailed check,3,1,0.06284911161366924,0
ref-36,62,66.26610160668753,412.18468160777985,Month-to-month,No,Credit card (automatic),3,0,0.014587927136736007,0
ref-37,60,27.383720747078502,77.29537926410738,Two year,No,Credit card (automatic),4,1,0.5600975927150736,1
ref-38,20,83.69558379475183,845.9170914283135,Month-to-month,Fiber optic,Bank transfer (automatic),4,0,0.24847093980760476,0
ref-39,46,26.872744551010523,403.34212259525896,Two year,Fiber optic,Mailed check,1,0,0.08778053345021046,0
ref-40,12,38.870011885952785,150.19632265908132,Month-to-month,No,Credit card (automatic),2,0,0.057588793821012334,0
ref-41,55,37.53365342021892,1969.6465767531158,One year,No,Bank transfer (automatic),1,1,0.1663145356275811,0
ref-42,51,118.0,179.88776013887812,Month-to-month,Fiber optic,Bank transfer (automatic),0,1,0.3224310609046658,0
ref-43,25,66.56467073611493,1475.7825788799732,Month-to-month,No,Credit card (automatic),5,1,0.11550805863430785,0
ref-44,4,48.08449223993523,329.95595505164215,Month-to-month,No,Mailed check,4,0,0.7048704725683512,1
ref-45,70,73.64318929057593,3299.6489991230515,Month-to-month,Fiber optic,Bank transfer (automatic),0,0,0.3036916674740024,0
ref-46,32,18.0,1407.472102095548,Month-to-month,DSL,Electronic check,2,1,0.06359904141100112,0
